pix,year,winlst.sum,winlst.avg,lst2.sum,lst2.avg,greenup.lst,greenup.soil
faa,2014,1103.068262484478,12.256314027605312,455.8412313794675,9.302882273050358,2014-03-21,2014-02-23
faa,2015,1475.7821004191248,16.39757889354583,771.8914851084886,15.752887451193645,2015-01-29,2015-02-12
faa,2016,1000.7684554742442,10.997455554662023,388.3394708632352,7.925295323739493,2016-03-07,2016-02-20
faa,2017,1495.3584512206492,16.615093902451658,837.9808622833109,17.101650250679814,2017-02-04,2017-01-27
faa,2018,1368.5132205071534,15.205702450079482,837.7675894330254,17.09729774353113,2018-02-05,2018-02-14
faa,2019,1383.6410379495742,15.373789310550825,688.5160938942522,14.05134885498474,2019-02-18,2019-02-08
faa,2020,1568.627496621161,17.237664798034736,872.0048699219831,17.796017753509858,2020-01-29,2020-01-27
fab,2014,2675.794561229546,14.865525340164146,1160.223633013098,11.839016663398958,2014-02-20,2014-01-23
fab,2015,2374.641982807591,13.192455460042172,1061.113165776632,10.827685365067675,2015-03-08,2015-01-24
fab,2016,2879.7370130539407,15.82273084095572,1248.3436734865163,12.73820074986241,2016-01-10,2016-01-17
fab,2017,3005.307245240955,16.69615136244975,1584.5322042751354,16.168695961991176,2017-01-30,2017-01-17
fab,2018,2810.1878545150553,15.612154747305862,1504.9707883443816,15.356844779024302,2018-01-28,2018-01-31
fab,2019,3279.771014712862,18.22095008173812,1796.247376234176,18.32905485953241,2019-01-09,2019-01-11
fab,2020,3681.34171879513,20.227152301072145,2054.3391238296335,20.962644120710547,2020-01-11,2020-01-14
fac,2014,1335.3841364956693,14.837601516618546,579.0980749048392,11.818328059282434,2014-03-07,2014-02-22
fac,2015,1211.20805257296,13.457867250810667,541.7623628939699,11.056374752938162,2015-03-17,2015-02-24
fac,2016,1439.1186358076402,15.81449050338066,624.5120292134595,12.745143453335908,2016-02-20,2016-02-15
fac,2017,1502.536725140533,16.694852501561478,792.689842384791,16.17734372213859,2017-02-09,2017-01-29
fac,2018,1407.4713760027591,15.638570844475101,752.9403293859024,15.366129171140866,2018-02-13,2018-02-15
